Gene stable ID	Gene name	AFFY Zebrafish probe
ENSDARG00000063905	mt-co1	Dr.20553.2.A1_a_at
ENSDARG00000063905	mt-co1	Dr.20553.1.A1_x_at
ENSDARG00000063905	mt-co1	Dr.20553.1.A1_at
ENSDARG00000083519	AC024175.24	Dr.20553.2.A1_a_at
ENSDARG00000063908	mt-co2	Dr.20553.2.A1_a_at
ENSDARG00000035282	emc6	Dr.13110.1.A1_at
ENSDARG00000011360	nfatc2ip	Dr.9520.2.S1_at
ENSDARG00000011360	nfatc2ip	Dr.9520.1.A1_at
ENSDARG00000102274	aaas	Dr.12503.2.S1_at
ENSDARG00000044914	suclg2	Dr.5465.1.A1_at
ENSDARG00000011360	nfatc2ip	Dr.9520.2.S1_at
ENSDARG00000011360	nfatc2ip	Dr.9520.1.A1_at
ENSDARG00000045893	kctd15a	Dr.125.1.A1_at
ENSDARG00000016783	srsf6b	Dr.4579.1.A1_at
ENSDARG00000071233	zgc:158254	Dr.9582.1.A1_at
ENSDARG00000045878	nudt4b	Dr.21742.1.A1_at
ENSDARG00000054606	mrpl1	Dr.16031.1.S1_at
ENSDARG00000015567	zic1	Dr.6760.1.S1_at
ENSDARG00000055443	zcchc7	Dr.18487.1.S1_at
ENSDARG00000089646	ctdspl3	Dr.5629.1.A1_at
ENSDARG00000087197	ros1	Dr.20986.1.S1_at
ENSDARG00000013144	atp1b1a	Dr.10198.1.S2_at
ENSDARG00000013144	atp1b1a	Dr.10198.1.S1_at
ENSDARG00000073724	nlrx1	Dr.18589.1.A1_at
ENSDARG00000086416	med11	Dr.19071.1.A1_at
ENSDARG00000093997	si:dkey-9i23.15	Dr.5322.1.S1_at
ENSDARG00000073724	nlrx1	Dr.18589.1.A1_at
ENSDARG00000016302	upf1	Dr.13594.1.S1_at
ENSDARG00000016302	upf1	Dr.7841.1.A1_at
ENSDARG00000013144	atp1b1a	Dr.10198.1.S2_at
ENSDARG00000013144	atp1b1a	Dr.10198.1.S1_at
ENSDARG00000041359	zgc:161969	Dr.18035.1.S1_at
ENSDARG00000036371	acta1a	Dr.4837.1.A1_at
ENSDARG00000040401	slc25a20	Dr.2784.1.A1_at
ENSDARG00000078492	swi5	Dr.17855.1.S1_at
ENSDARG00000103871	si:ch73-109d9.2	Dr.6647.1.A1_at
ENSDARG00000078492	swi5	Dr.17855.1.S1_at
ENSDARG00000004594	znf800a	Dr.24304.1.S1_at
ENSDARG00000099273	zgc:103508	Dr.9671.1.S1_at
ENSDARG00000004594	znf800a	Dr.24304.1.S1_at
ENSDARG00000041359	zgc:161969	Dr.18035.1.S1_at
ENSDARG00000069313	oxa1l	Dr.18637.1.A1_at
ENSDARG00000016302	upf1	Dr.13594.1.S1_at
ENSDARG00000070358	smim12	Dr.10240.1.S1_at
ENSDARG00000010207	smad3b	Dr.19379.1.S1_at
ENSDARG00000056665	nsun2	Dr.5306.1.S1_at
ENSDARG00000020741	fga	Dr.845.1.A1_at
ENSDARG00000031971	kdelc1	Dr.20639.1.S1_at
ENSDARG00000056665	nsun2	Dr.5306.1.S1_at
ENSDARG00000059054	pdk2b	Dr.9528.1.S1_at
ENSDARG00000059054	pdk2b	Dr.9528.1.S1_at
ENSDARG00000040033	trmt11	Dr.3155.1.S1_at
ENSDARG00000020741	fga	Dr.845.1.A1_at
ENSDARG00000040033	trmt11	Dr.3155.1.S1_at
ENSDARG00000095273	cox8a	Dr.1141.1.A1_at
ENSDARG00000076017	tmem69	Dr.15401.1.A1_at
ENSDARG00000003854	acsl1b	Dr.6885.1.A1_at
ENSDARG00000003854	acsl1b	Dr.2996.1.A1_at
ENSDARG00000073883	clstn3	Dr.14069.1.A1_at
ENSDARG00000020741	fga	Dr.845.1.A1_at
ENSDARG00000033450	nkap	Dr.16023.1.A1_at
ENSDARG00000033450	nkap	Dr.16023.2.S1_at
ENSDARG00000103845	zgc:55733	Dr.9353.1.S1_at
ENSDARG00000073883	clstn3	Dr.14069.1.A1_at
ENSDARG00000103845	zgc:55733	Dr.9353.1.S1_at
ENSDARG00000020741	fga	Dr.845.1.A1_at
ENSDARG00000033450	nkap	Dr.16023.1.A1_at
ENSDARG00000033450	nkap	Dr.16023.2.S1_at
ENSDARG00000033450	nkap	Dr.16023.2.S1_at
ENSDARG00000003904	sycp1	Dr.18395.1.S1_at
ENSDARG00000033450	nkap	Dr.16023.1.A1_at
ENSDARG00000033450	nkap	Dr.16023.2.S1_at
ENSDARG00000070833	lin52	Dr.16539.1.S1_at
ENSDARG00000071005	ppp1r3ca	Dr.8497.1.A1_at
ENSDARG00000074848	smim7	Dr.23161.1.S1_at
ENSDARG00000045877	ube2nb	Dr.16839.1.S1_at
ENSDARG00000104132	traj28	Dr.10682.1.S1_at
ENSDARG00000039215	arrb2a	Dr.4114.1.S1_at
ENSDARG00000039215	arrb2a	Dr.26320.1.A1_at
ENSDARG00000068460	otog	Dr.7234.1.A1_at
ENSDARG00000041051	mid1ip1a	Dr.20054.1.S1_at
ENSDARG00000054978	kifc3	Dr.7499.1.A1_at
ENSDARG00000039215	arrb2a	Dr.4114.1.S1_at
ENSDARG00000039215	arrb2a	Dr.26320.1.A1_at
ENSDARG00000054978	kifc3	Dr.7499.1.A1_at
ENSDARG00000068460	otog	Dr.7234.1.A1_at
ENSDARG00000068460	otog	Dr.7234.1.A1_at
ENSDARG00000039215	arrb2a	Dr.4114.1.S1_at
ENSDARG00000054906	ier5l	Dr.25657.1.A1_at
ENSDARG00000038615	tmem55ba	Dr.22194.1.A1_at
ENSDARG00000038615	tmem55ba	Dr.19117.1.S1_at
ENSDARG00000078109	usp12a	Dr.5972.1.A1_at
ENSDARG00000038615	tmem55ba	Dr.19117.1.S1_at
ENSDARG00000075807	traj39	Dr.10682.1.S1_at
ENSDARG00000104458	rnasekb	Dr.7099.2.A1_at
ENSDARG00000104458	rnasekb	Dr.7099.1.S1_at
ENSDARG00000078133	kdm2ab	Dr.5386.1.A1_at
ENSDARG00000094899	si:ch1073-143l10.2	Dr.5387.1.A1_at
ENSDARG00000041435	uba52	Dr.1340.1.S1_at
ENSDARG00000012222	nup35	Dr.5851.1.S1_at
ENSDARG00000006283	waslb	Dr.10901.1.S1_at
ENSDARG00000014817	ranbp1	Dr.12411.1.S1_at
ENSDARG00000006283	waslb	Dr.10901.1.S1_at
ENSDARG00000045850	ccdc167	Dr.12980.1.A1_at
ENSDARG00000103000	si:ch211-107p11.3	Dr.21821.1.A1_at
ENSDARG00000040031	tardbp	Dr.2409.1.S1_at
ENSDARG00000033596	polr2c	Dr.9758.1.S1_at
ENSDARG00000045160	msrb1b	Dr.13967.1.A1_at
ENSDARG00000020311	cnih1	Dr.5348.1.S1_at
ENSDARG00000040031	tardbp	Dr.2409.1.S1_at
ENSDARG00000006010	bmi1a	Dr.5544.2.S1_a_at
ENSDARG00000033596	polr2c	Dr.9758.1.S1_at
ENSDARG00000006010	bmi1a	Dr.5544.2.S1_a_at
ENSDARG00000026582	iscub	Dr.1482.1.A1_at
ENSDARG00000058088	aifm1	Dr.25618.1.A1_at
ENSDARG00000014591	ilf2	Dr.4404.1.A1_at
ENSDARG00000039335	st6gal2a	Dr.17176.1.A1_at
ENSDARG00000039335	st6gal2a	Dr.17176.1.A1_at
ENSDARG00000074381	farp1	Dr.21893.1.A1_at
ENSDARG00000026582	iscub	Dr.1482.1.A1_at
ENSDARG00000028784	si:dkey-24p1.6	Dr.12714.1.A1_at
ENSDARG00000069852	lipt2	Dr.14436.1.S1_at
ENSDARG00000026582	iscub	Dr.1482.1.A1_at
ENSDARG00000086336	si:ch211-157b11.12	Dr.13971.1.A1_at
ENSDARG00000058088	aifm1	Dr.25618.1.A1_at
ENSDARG00000086336	si:ch211-157b11.12	Dr.13971.1.A1_at
ENSDARG00000020311	cnih1	Dr.5348.1.S1_at
ENSDARG00000069852	lipt2	Dr.14436.1.S1_at
ENSDARG00000028784	si:dkey-24p1.6	Dr.12714.1.A1_at
ENSDARG00000058088	aifm1	Dr.25618.1.A1_at
ENSDARG00000042825	rnf169	Dr.21979.1.A1_at
ENSDARG00000062612	dhx37	Dr.2341.1.A1_at
ENSDARG00000062612	dhx37	Dr.2341.1.A1_at
ENSDARG00000069301	tmem177	Dr.3515.1.A1_at
ENSDARG00000063626	ddx21	Dr.25607.1.S1_at
ENSDARG00000094890	si:ch211-163b2.4	Dr.457.1.A1_at
ENSDARG00000063626	ddx21	Dr.25607.1.S1_at
ENSDARG00000011027	fgfr1a	Dr.2685.1.S1_at
ENSDARG00000028327	gmfb	Dr.20230.1.S1_at
ENSDARG00000074393	sh3yl1	Dr.15998.1.A1_at
ENSDARG00000063626	ddx21	Dr.25607.1.S1_at
ENSDARG00000011049	slc17a9b	Dr.20232.1.A1_at
ENSDARG00000074393	sh3yl1	Dr.15998.1.A1_at
ENSDARG00000028327	gmfb	Dr.20230.1.S1_at
ENSDARG00000041361	ttk	Dr.15472.1.S1_at
ENSDARG00000062307	ccdc61	Dr.24652.1.A1_at
ENSDARG00000035122	camsap1b	Dr.21663.1.A1_at
ENSDARG00000034685	tmem198b	Dr.7471.1.A1_at
ENSDARG00000030108	sec22ba	Dr.8759.1.S1_at
ENSDARG00000035122	camsap1b	Dr.21663.1.A1_at
ENSDARG00000062307	ccdc61	Dr.24652.1.A1_at
ENSDARG00000040557	exosc5	Dr.17708.1.S1_at
ENSDARG00000062307	ccdc61	Dr.24652.1.A1_at
ENSDARG00000019122	he1b	Dr.1691.9.S1_at
ENSDARG00000069105	fgfr4	Dr.409.1.S1_at
ENSDARG00000086911	si:dkey-100n23.5	Dr.18222.1.A1_at
ENSDARG00000007720	sub1b	Dr.13991.1.S1_at
ENSDARG00000086911	si:dkey-100n23.5	Dr.18222.1.A1_at
ENSDARG00000007720	sub1b	Dr.13991.1.S1_at
ENSDARG00000051902	prmt7	Dr.3855.1.S1_at
ENSDARG00000086911	si:dkey-100n23.5	Dr.18222.1.A1_at
ENSDARG00000019122	he1b	Dr.1691.9.S1_at
ENSDARG00000019122	he1b	Dr.1691.9.S1_at
ENSDARG00000069105	fgfr4	Dr.409.1.S1_at
ENSDARG00000019122	he1b	Dr.1691.9.S1_at
ENSDARG00000014973	ntng1a	Dr.16726.1.A1_at
ENSDARG00000071468	mrpl54	Dr.15814.1.S1_at
ENSDARG00000045733	ciapin1	Dr.2765.1.A1_at
ENSDARG00000014973	ntng1a	Dr.16726.1.A1_at
ENSDARG00000001241	puf60b	Dr.2898.1.A1_at
ENSDARG00000008697	epas1a	Dr.16214.1.S1_at
ENSDARG00000008697	epas1a	Dr.16214.1.S1_at
ENSDARG00000008697	epas1a	Dr.12182.1.A1_at
ENSDARG00000004078	acsl4a	Dr.16391.1.A1_at
ENSDARG00000045733	ciapin1	Dr.2765.1.A1_at
ENSDARG00000059583	rcc1l	Dr.15821.1.A1_at
ENSDARG00000078546	cars2	Dr.17358.1.A1_at
ENSDARG00000027828	grin1a	Dr.12849.2.A1_a_at
ENSDARG00000052482	arhgef11	Dr.26255.1.A1_at
ENSDARG00000042660	fam32a	Dr.14298.1.S1_at
ENSDARG00000062962	kmt2ba	Dr.9377.1.A1_at
ENSDARG00000008829	chga	Dr.20148.1.A1_at
ENSDARG00000074332		Dr.10834.2.S1_at
ENSDARG00000074332		Dr.10834.3.A1_a_at
ENSDARG00000029292	zgc:55943	Dr.20974.1.S1_at
ENSDARG00000014582	exoc3	Dr.7300.1.S1_at
ENSDARG00000074332		Dr.10834.2.S1_at
ENSDARG00000074332		Dr.10834.3.A1_a_at
ENSDARG00000057635	wdr34	Dr.11572.1.A1_at
ENSDARG00000014986	acvr1l	Dr.606.1.S2_at
ENSDARG00000001241	puf60b	Dr.2898.1.A1_at
ENSDARG00000044938	cbx2	Dr.18575.1.S1_a_at
ENSDARG00000027828	grin1a	Dr.12849.2.A1_a_at
ENSDARG00000023583	coq9	Dr.12741.1.A1_at
ENSDARG00000057635	wdr34	Dr.11572.1.A1_at
ENSDARG00000014986	acvr1l	Dr.606.1.S2_at
ENSDARG00000029292	zgc:55943	Dr.20974.1.S1_at
ENSDARG00000015628	psmd10	Dr.10290.1.A1_at
ENSDARG00000044938	cbx2	Dr.18575.1.S1_a_at
ENSDARG00000074332		Dr.10834.2.S1_at
ENSDARG00000074332		Dr.10834.3.A1_a_at
ENSDARG00000001241	puf60b	Dr.2898.1.A1_at
ENSDARG00000001241	puf60b	Dr.2898.1.A1_at
ENSDARG00000033437	rps6ka1	Dr.21796.1.A1_at
ENSDARG00000033437	rps6ka1	Dr.26049.1.A1_at
ENSDARG00000013063	oxct1a	Dr.18558.1.A1_at
ENSDARG00000042934	ctgfa	Dr.10431.1.S1_at
ENSDARG00000097216	BX957355.1	Dr.7833.1.S1_at
ENSDARG00000094097	CR936321.1	Dr.23191.1.A1_at
ENSDARG00000015905	lztr1	Dr.9553.1.A1_at
ENSDARG00000015905	lztr1	Dr.19626.1.S1_at
ENSDARG00000104451	slc39a7	Dr.3818.1.S1_at
ENSDARG00000099972	nup153	Dr.7253.1.S1_at
ENSDARG00000015905	lztr1	Dr.9553.1.A1_at
ENSDARG00000015905	lztr1	Dr.19626.1.S1_at
ENSDARG00000014582	exoc3	Dr.7300.1.S1_at
ENSDARG00000013063	oxct1a	Dr.18558.1.A1_at
ENSDARG00000033437	rps6ka1	Dr.21796.1.A1_at
ENSDARG00000027357	cd2bp2	Dr.14117.1.S1_at
ENSDARG00000069804	si:ch211-198k9.6	Dr.7110.1.S1_at
ENSDARG00000031307	zic4	Dr.22390.1.A1_at
ENSDARG00000041361	ttk	Dr.15472.1.S1_at
ENSDARG00000092833	CR318588.2	Dr.10066.1.A1_at
ENSDARG00000027357	cd2bp2	Dr.14117.1.S1_at
ENSDARG00000099972	nup153	Dr.7253.1.S1_at
ENSDARG00000033437	rps6ka1	Dr.21796.1.A1_at
ENSDARG00000033437	rps6ka1	Dr.26049.1.A1_at
ENSDARG00000044565	ola1	Dr.3198.1.S2_at
ENSDARG00000044565	ola1	Dr.3198.1.S1_at
ENSDARG00000099972	nup153	Dr.7253.1.S1_at
ENSDARG00000013063	oxct1a	Dr.18558.1.A1_at
ENSDARG00000031307	zic4	Dr.22390.1.A1_at
ENSDARG00000041361	ttk	Dr.15472.1.S1_at
ENSDARG00000094097	CR936321.1	Dr.23191.1.A1_at
ENSDARG00000044565	ola1	Dr.3198.1.S2_at
ENSDARG00000044565	ola1	Dr.3198.1.S1_at
ENSDARG00000094097	CR936321.1	Dr.23191.1.A1_at
ENSDARG00000041203	drap1	Dr.719.1.S1_at
ENSDARG00000041203	drap1	Dr.719.1.S1_at
ENSDARG00000029406	h2afx	Dr.17357.1.A1_at
ENSDARG00000104451	slc39a7	Dr.3818.1.S1_at
ENSDARG00000104451	slc39a7	Dr.3818.2.A1_at
ENSDARG00000093022	seph	Dr.361.1.S1_at
ENSDARG00000052482	arhgef11	Dr.26255.1.A1_at
ENSDARG00000037099	irs2a	Dr.17358.1.A1_at
ENSDARG00000037099	irs2a	Dr.25440.1.A1_x_at
ENSDARG00000037099	irs2a	Dr.20545.1.S1_at
ENSDARG00000019231	spna2	Dr.1940.1.S1_at
ENSDARG00000062060	gmeb1	Dr.9381.1.A1_at
ENSDARG00000093022	seph	Dr.361.1.S1_at
ENSDARG00000018404	krt18	Dr.1372.1.S1_at
ENSDARG00000102673	si:dkey-26i24.1	Dr.6117.1.S1_at
ENSDARG00000102673	si:dkey-26i24.1	Dr.6117.1.S1_at
ENSDARG00000018404	krt18	Dr.1372.1.S1_at
ENSDARG00000102673	si:dkey-26i24.1	Dr.6117.1.S1_at
ENSDARG00000018404	krt18	Dr.1372.1.S1_at
ENSDARG00000099594	CU468012.3	Dr.2365.1.A1_at
ENSDARG00000018627	arl5a	Dr.11356.1.A1_at
ENSDARG00000079391	mrpl42	Dr.15742.1.A1_at
ENSDARG00000055357	leo1	Dr.24919.1.A1_s_at
ENSDARG00000055357	leo1	Dr.11557.1.A1_at
ENSDARG00000039522	tubb2	Dr.7928.1.A1_at
ENSDARG00000079994	AKAP13	Dr.9078.1.A1_at
ENSDARG00000019231	spna2	Dr.1940.1.S1_at
ENSDARG00000020573	ddx3a	Dr.8412.1.A1_at
ENSDARG00000020573	ddx3a	Dr.25544.1.S1_at
ENSDARG00000020573	ddx3a	Dr.13657.1.A1_at
ENSDARG00000079994	AKAP13	Dr.9078.1.A1_at
ENSDARG00000022418	faf1	Dr.18567.1.S1_at
ENSDARG00000079994	AKAP13	Dr.9078.1.A1_at
ENSDARG00000019498	cry5	Dr.10332.1.S1_at
ENSDARG00000097256	si:ch211-270g19.5	Dr.25053.1.S1_at
ENSDARG00000019498	cry5	Dr.10332.1.S1_at
ENSDARG00000020573	ddx3a	Dr.25544.1.S1_at
ENSDARG00000022418	faf1	Dr.18567.1.S1_at
ENSDARG00000060977	zgc:153018	Dr.25318.1.A1_at
ENSDARG00000055563	rnasen	Dr.11510.1.A1_at
ENSDARG00000055563	rnasen	Dr.11510.2.S1_at
ENSDARG00000053370	eif3jb	Dr.16682.1.S1_at
ENSDARG00000044532	nr4a2b	Dr.12803.1.A1_at
ENSDARG00000078179	fndc3ba	Dr.738.1.A1_x_at
ENSDARG00000078179	fndc3ba	Dr.738.1.A1_x_at
ENSDARG00000098032	si:dkey-7i4.13	Dr.17535.1.S1_at
ENSDARG00000053370	eif3jb	Dr.16682.1.S1_at
ENSDARG00000092473	apopt1	Dr.19762.2.A1_at
ENSDARG00000092473	apopt1	Dr.19762.1.S1_at
ENSDARG00000045411	acad11	Dr.11446.1.S1_at
ENSDARG00000010516	rpl21	Dr.643.1.S1_at
ENSDARG00000016143	xiap	Dr.12645.1.S1_at
ENSDARG00000010516	rpl21	Dr.643.1.S1_at
ENSDARG00000026806	taf8	Dr.7833.1.S1_at
ENSDARG00000002591	ruvbl1	Dr.2083.1.S1_at
ENSDARG00000104936	si:ch211-225h24.2	Dr.2467.1.A1_at
ENSDARG00000068940	atp5ib	Dr.14222.1.S1_at
ENSDARG00000060951	polg	Dr.2531.2.S1_at
ENSDARG00000095708	znf1012	Dr.17535.1.S1_at
ENSDARG00000095708	znf1012	Dr.25370.1.A1_at
ENSDARG00000100170	pam	Dr.3974.1.A1_at
ENSDARG00000015224	cd2ap	Dr.7916.1.S1_at
ENSDARG00000002591	ruvbl1	Dr.2083.1.S1_at
ENSDARG00000011240	ift46	Dr.14552.1.S1_at
ENSDARG00000000551	slc1a4	Dr.25217.1.S1_at
ENSDARG00000100170	pam	Dr.3974.1.A1_at
ENSDARG00000063292	ssuh2rs1	Dr.17965.2.A1_at
ENSDARG00000011240	ift46	Dr.14552.1.S1_at
ENSDARG00000016143	xiap	Dr.12645.1.S1_at
ENSDARG00000097481	si:dkey-77f5.11	Dr.17535.1.S1_at
ENSDARG00000097481	si:dkey-77f5.11	Dr.25370.1.A1_at
ENSDARG00000000551	slc1a4	Dr.25217.1.S1_at
ENSDARG00000060951	polg	Dr.2531.2.S1_at
ENSDARG00000011240	ift46	Dr.14552.1.S1_at
ENSDARG00000104936	si:ch211-225h24.2	Dr.2467.1.A1_at
ENSDARG00000019231	spna2	Dr.1940.1.S1_at
ENSDARG00000016143	xiap	Dr.12645.1.S1_at
ENSDARG00000063292	ssuh2rs1	Dr.17965.2.A1_at
ENSDARG00000063292	ssuh2rs1	Dr.5162.1.A1_at
ENSDARG00000096901	si:dkey-7i4.11	Dr.17535.1.S1_at
ENSDARG00000019300	ints7	Dr.17434.1.S1_a_at
ENSDARG00000101615	BX469901.1	Dr.361.1.S1_at
ENSDARG00000027595	selt1b	Dr.4835.1.S1_at
ENSDARG00000093936	si:dkeyp-1h4.6	Dr.16350.1.A1_at
ENSDARG00000031985	ppp2r4	Dr.9399.2.S1_at
ENSDARG00000031985	ppp2r4	Dr.9399.1.A1_at
ENSDARG00000016143	xiap	Dr.12645.1.S1_at
ENSDARG00000102546	cdk11b	Dr.14382.2.A1_at
ENSDARG00000102546	cdk11b	Dr.14382.1.S1_at
ENSDARG00000027595	selt1b	Dr.4835.1.S1_at
ENSDARG00000019231	spna2	Dr.1940.1.S1_at
ENSDARG00000031985	ppp2r4	Dr.9399.1.A1_at
ENSDARG00000026806	taf8	Dr.7833.1.S1_at
ENSDARG00000031985	ppp2r4	Dr.9399.1.A1_at
ENSDARG00000027595	selt1b	Dr.4835.1.S1_at
ENSDARG00000026806	taf8	Dr.7833.1.S1_at
ENSDARG00000097134	si:dkey-7i4.7	Dr.17535.1.S1_at
ENSDARG00000097134	si:dkey-7i4.7	Dr.25370.1.A1_at
ENSDARG00000019231	spna2	Dr.1940.1.S1_at
ENSDARG00000031968	cpped1	Dr.16752.1.A1_at
ENSDARG00000026806	taf8	Dr.7833.1.S1_at
ENSDARG00000038967	cul3a	Dr.2145.1.A1_at
ENSDARG00000026806	taf8	Dr.7833.1.S1_at
ENSDARG00000028894	mrgbp	Dr.3964.1.S1_at
ENSDARG00000074552	ndufs7	Dr.7783.1.S1_at
ENSDARG00000071652	rrp8	Dr.8475.1.A1_at
ENSDARG00000074552	ndufs7	Dr.7783.1.S1_at
ENSDARG00000019195	vps9d1	Dr.26383.1.A1_at
ENSDARG00000098712	CR925761.1	Dr.6204.1.A1_at
ENSDARG00000078759	dna2	Dr.17469.1.A1_at
ENSDARG00000071652	rrp8	Dr.8475.1.A1_at
ENSDARG00000098712	CR925761.1	Dr.6204.1.A1_at
ENSDARG00000078759	dna2	Dr.17469.1.A1_at
ENSDARG00000098712	CR925761.1	Dr.6204.1.A1_at
ENSDARG00000045014	tuba2	Dr.26381.1.A1_at
ENSDARG00000103324	si:ch211-127b6.2	Dr.2365.1.A1_at
ENSDARG00000041170	aagab	Dr.23752.1.A1_at
ENSDARG00000060853	nckap1	Dr.22018.1.A1_at
ENSDARG00000086670	ice2	Dr.16164.1.A1_at
ENSDARG00000073944	si:ch73-386h18.1	Dr.23457.1.S1_s_at
ENSDARG00000017741	g3bp1	Dr.7036.1.S1_at
ENSDARG00000073944	si:ch73-386h18.1	Dr.23457.1.S1_s_at
ENSDARG00000060853	nckap1	Dr.22018.1.A1_at
ENSDARG00000052680	si:dkey-182g1.2	Dr.15965.1.A1_at
ENSDARG00000013938	psmb3	Dr.5594.1.S1_at
ENSDARG00000017741	g3bp1	Dr.7036.1.S1_at
ENSDARG00000045929	oaz2a	Dr.7233.1.A1_at
ENSDARG00000052680	si:dkey-182g1.2	Dr.15965.1.A1_at
ENSDARG00000052680	si:dkey-182g1.2	Dr.15965.1.A1_at
ENSDARG00000019300	ints7	Dr.17434.1.S1_a_at
ENSDARG00000017741	g3bp1	Dr.7036.1.S1_at
ENSDARG00000052680	si:dkey-182g1.2	Dr.15965.1.A1_at
ENSDARG00000017741	g3bp1	Dr.7036.1.S1_at
ENSDARG00000052680	si:dkey-182g1.2	Dr.15965.1.A1_at
ENSDARG00000018241	mfap1	Dr.10072.1.S1_at
ENSDARG00000004757	ybx1	Dr.1161.1.S1_at
ENSDARG00000100452	nop53	Dr.14261.1.A1_at
ENSDARG00000057577	mbtps2	Dr.20573.1.A1_at
ENSDARG00000019644	ldhba	Dr.729.1.S1_at
ENSDARG00000009862	dcps	Dr.26332.1.A1_s_at
ENSDARG00000009862	dcps	Dr.531.1.S1_at
ENSDARG00000024047	tmem38a	Dr.3983.1.A1_at
ENSDARG00000100452	nop53	Dr.14261.1.A1_at
ENSDARG00000058873	ptpdc1b	Dr.12870.1.A1_at
ENSDARG00000011537	ugt2a5	Dr.11419.1.A1_at
ENSDARG00000058873	ptpdc1b	Dr.12870.1.A1_at
ENSDARG00000013168	jag1b	Dr.12589.1.S1_at
ENSDARG00000011312	stk3	Dr.24253.1.S1_at
ENSDARG00000011312	stk3	Dr.24253.1.S1_at
ENSDARG00000011537	ugt2a5	Dr.11419.1.A1_at
ENSDARG00000058601	gdap1	Dr.15244.1.A1_at
ENSDARG00000038296	tmem86b	Dr.17175.1.A1_at
ENSDARG00000042667	klf2a	Dr.3448.1.S1_at
ENSDARG00000008170	dbnla	Dr.16116.1.S1_at
ENSDARG00000011537	ugt2a5	Dr.11419.1.A1_at
ENSDARG00000038296	tmem86b	Dr.17175.1.A1_at
ENSDARG00000016623	si:ch211-195b13.1	Dr.9896.1.A1_at
ENSDARG00000004757	ybx1	Dr.1161.1.S1_at
ENSDARG00000008170	dbnla	Dr.16116.1.S1_at
ENSDARG00000071475	aox5	Dr.9225.1.A1_at
ENSDARG00000026224	fanci	Dr.2531.1.A1_at
ENSDARG00000056112	pikfyve	Dr.2783.1.A1_at
ENSDARG00000058302	sh3bgrl	Dr.7946.2.A1_a_at
ENSDARG00000089232	prr14	Dr.3257.1.A1_at
ENSDARG00000016623	si:ch211-195b13.1	Dr.9896.1.A1_at
ENSDARG00000039501	ugt2a6	Dr.11419.1.A1_at
ENSDARG00000004757	ybx1	Dr.1161.1.S1_at
ENSDARG00000071475	aox5	Dr.9225.1.A1_at
ENSDARG00000056112	pikfyve	Dr.2783.1.A1_at
ENSDARG00000045025	ift52	Dr.15827.1.A1_at
ENSDARG00000056112	pikfyve	Dr.2783.1.A1_at
ENSDARG00000042823	spcs2	Dr.5599.1.S1_at
ENSDARG00000073787	si:ch73-303b9.1	Dr.13745.2.A1_x_at
ENSDARG00000073787	si:ch73-303b9.1	Dr.13745.3.A1_x_at
ENSDARG00000026224	fanci	Dr.2531.1.A1_at
ENSDARG00000013056	itpk1a	Dr.22569.1.S1_at
ENSDARG00000039989	snrnp48	Dr.13851.1.S1_at
ENSDARG00000056112	pikfyve	Dr.2783.1.A1_at
ENSDARG00000042823	spcs2	Dr.5599.1.S1_at
ENSDARG00000060089	btaf1	Dr.2057.1.A1_at
ENSDARG00000013056	itpk1a	Dr.22569.1.S1_at
ENSDARG00000056112	pikfyve	Dr.2783.1.A1_at
ENSDARG00000023656	he1a	Dr.1691.9.S1_at
ENSDARG00000026224	fanci	Dr.2531.1.A1_at
ENSDARG00000026224	fanci	Dr.2531.1.A1_at
ENSDARG00000023656	he1a	Dr.1691.9.S1_at
ENSDARG00000056102	uxs1	Dr.7218.1.S1_at
ENSDARG00000023656	he1a	Dr.1691.9.S1_at
ENSDARG00000067996	csk	Dr.7479.1.A1_at
ENSDARG00000007025	ttc9c	Dr.10970.1.S1_at
ENSDARG00000099543	CR388156.1	Dr.16803.1.A1_at
ENSDARG00000002952	smo	Dr.4416.2.A1_at
ENSDARG00000002952	smo	Dr.24766.1.S1_at
ENSDARG00000036057	tradd	Dr.3278.1.S1_at
ENSDARG00000034291	rpl37	Dr.12439.3.S1_a_at
ENSDARG00000040555	bckdha	Dr.3814.1.A1_at
ENSDARG00000039989	snrnp48	Dr.13851.1.S1_at
ENSDARG00000097691	kiaa0101	Dr.12145.1.A1_at
ENSDARG00000034291	rpl37	Dr.12439.3.S1_a_at
ENSDARG00000040555	bckdha	Dr.3814.1.A1_at
ENSDARG00000044298	phax	Dr.2382.1.A1_at
ENSDARG00000034291	rpl37	Dr.12439.3.S1_a_at
ENSDARG00000044001	lgals3b	Dr.20815.3.A1_at
ENSDARG00000034291	rpl37	Dr.12439.3.S1_a_at
ENSDARG00000014085	atp6v1e1a	Dr.4617.1.A1_at
ENSDARG00000044001	lgals3b	Dr.20815.3.A1_at
ENSDARG00000074034	si:dkey-91i10.2	Dr.21996.1.A1_at
ENSDARG00000054058	h1fx	Dr.24246.1.S1_at
ENSDARG00000033259	dis3l2	Dr.7984.1.A1_at
ENSDARG00000056491	ikzf5	Dr.25707.1.A1_at
ENSDARG00000054829	pik3c3	Dr.18194.1.A1_at
ENSDARG00000056491	ikzf5	Dr.25707.1.A1_at
ENSDARG00000056491	ikzf5	Dr.25707.1.A1_at
ENSDARG00000041830	tsn	Dr.25590.1.A1_at
ENSDARG00000041830	tsn	Dr.25590.2.A1_at
